algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0,1103,9567,8
QuickSort,random,1000,0,1893,16152,6
QuickSelect,random,1000,0,0247,3690,8
MergeSort,sorted,1000,0,0234,4236,8
QuickSort,sorted,1000,0,0735,16899,7
QuickSelect,sorted,1000,0,0167,4660,15
MergeSort,duplicates,1000,0,0514,9205,8
QuickSort,duplicates,1000,0,0242,4879,2
QuickSelect,duplicates,1000,0,0194,4280,3
MergeSort,random,10000,0,9215,126913,11
QuickSort,random,10000,0,6476,237277,9
QuickSelect,random,10000,0,1136,80088,24
MergeSort,sorted,10000,0,1826,59248,11
QuickSort,sorted,10000,0,3992,233373,8
QuickSelect,sorted,10000,0,0523,52761,15
MergeSort,duplicates,10000,0,5603,121540,11
QuickSort,duplicates,10000,0,1240,57009,3
QuickSelect,duplicates,10000,0,2376,24136,3
MergeSort,random,100000,6,5359,1639515,14
QuickSort,random,100000,6,8244,3077779,11
QuickSelect,random,100000,0,7597,493550,21
MergeSort,sorted,100000,1,6576,744016,14
QuickSort,sorted,100000,4,0474,3051425,11
QuickSelect,sorted,100000,0,3062,455585,18
MergeSort,duplicates,100000,3,4261,1561957,14
QuickSort,duplicates,100000,1,0377,669447,2
QuickSelect,duplicates,100000,0,8037,330234,2
MergeSort,random,1000000,88,1310,19886553,18
QuickSort,random,1000000,82,1296,37501785,13
QuickSelect,random,1000000,11,3532,5125532,22
MergeSort,sorted,1000000,18,7660,9071040,18
QuickSort,sorted,1000000,42,1223,38201455,13
QuickSelect,sorted,1000000,3,5229,7159246,30
MergeSort,duplicates,1000000,38,7763,18923476,18
QuickSort,duplicates,1000000,10,7662,6497145,2
QuickSelect,duplicates,1000000,8,7913,4400884,6
